[2019-07-20 22:01:57.596] [genuine_logger] [info] Kepler Beacon started
[2019-07-20 22:02:57.646] [genuine_logger] [info] Creating id.dat. Attempting to create it in: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\id.dat
[2019-07-20 22:02:57.678] [genuine_logger] [info] Reading configuration from: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\GenuineAutodeskService.conf
[2019-07-20 22:02:57.679] [genuine_logger] [info] Config file contents:
[2019-07-20 22:02:57.679] [genuine_logger] [info] landing_page_url https://www.autodesk.com/genuine/resolve-non-genuine-autocad?mktvar002=726303&utm_medium=product&utm_source=ipm&utm_campaign=glob-mul-genuine-autocad&utm_id=726303
collector_svc_url https://api.genuine.autodesk.com/collection/clientproducts
notif_svc_url https://api.genuine.autodesk.com/notification/notificationserver
events_svc_url https://api.genuine.autodesk.com/collection/clientevents
config_svc_url https://api.genuine.autodesk.com/configurations/configuration 
*******************
[2019-07-20 22:02:57.691] [genuine_logger] [info] Reading detection configuration from: C:\Users\aliPMPAINT\AppData\Local\Autodesk\Genuine Autodesk Service\AutodeskProducts.conf
[2019-07-20 22:02:57.736] [genuine_logger] [info] GET Query to Server: /?id=SUPPORTED_PRODUCTS&type=VERSION&
[2019-07-20 22:02:59.378] [genuine_logger] [info] GET Query to Server: /?id=SUPPORTED_PRODUCTS&type=DATA&
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 128B1 : 3DSMAX.EXE,3ds Max 2010
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 495B1 : 3DSMAX.EXE,3ds Max Design 2010
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 225K1 : ACAD.EXE,AutoCAD Electrical
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 225J1 : ACAD.EXE,AutoCAD Electrical
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 225I1 : ACAD.EXE,AutoCAD Electrical
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 225H1 : ACAD.EXE,AutoCAD Electrical
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 225G1 : ACAD.EXE,AutoCAD Electrical
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 206G1 : ACAD.EXE,AutoCAD Mechanical 2015
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 206H1 : ACAD.EXE,AutoCAD Mechanical 2016
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 206I1 : ACAD.EXE,AutoCAD Mechanical 2017
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 206J1 : ACAD.EXE,AutoCAD Mechanical 2018
[2019-07-20 22:03:00.866] [genuine_logger] [info] Registering parameters for 206K1 : ACAD.EXE,AutoCAD Mechanical 2019
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128C1 : 3DSMAX.EXE,Autodesk 3ds Max 2011
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128D1 : 3DSMAX.EXE,Autodesk 3ds Max 2012
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128D1:774D1 : 3DSMAX.EXE,Autodesk 3ds Max 2012
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128D1:661D1 : 3DSMAX.EXE,Autodesk 3ds Max 2012
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128E1 : 3DSMAX.EXE,Autodesk 3ds Max 2013
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128E1:793E1 : 3DSMAX.EXE,Autodesk 3ds Max 2013
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128E1:661E1 : 3DSMAX.EXE,Autodesk 3ds Max 2013
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128E1:774E1 : 3DSMAX.EXE,Autodesk 3ds Max 2013
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128F1 : 3DSMAX.EXE,Autodesk 3ds Max 2014
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128F1:774F1 : 3DSMAX.EXE,Autodesk 3ds Max 2014
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128F1:793F1 : 3DSMAX.EXE,Autodesk 3ds Max 2014
[2019-07-20 22:03:00.867] [genuine_logger] [info] Registering parameters for 128F1:661F1 : 3DSMAX.EXE,Autodesk 3ds Max 2014
[2019-07-20 22:03:00.868] [genuine_logger] [info] Registering parameters for 128F1:548F1 : 3DSMAX.EXE,Autodesk 3ds Max 2014
